iter	Passed	Remaining
0	6	6029
1	9	4684
2	12	4244
3	16	3996
4	19	3854
5	22	3749
6	25	3687
7	29	3647
8	32	3592
9	35	3557
10	39	3531
11	43	3549
12	46	3522
13	49	3502
14	53	3486
15	56	3474
16	59	3462
17	63	3441
18	65	3405
19	68	3372
20	72	3360
21	75	3338
22	78	3336
23	81	3297
24	83	3275
25	87	3261
26	90	3244
27	92	3224
28	95	3207
29	98	3190
30	101	3162
31	104	3146
32	106	3133
33	109	3118
34	112	3104
35	115	3099
36	118	3085
37	121	3072
38	124	3063
39	127	3052
40	130	3048
41	133	3054
42	137	3051
43	140	3043
44	142	3033
45	146	3028
46	148	3019
47	151	3010
48	162	3148
49	165	3139
50	168	3128
51	170	3115
52	173	3108
53	194	3413
54	198	3414
55	202	3412
56	205	3404
57	208	3391
58	210	3352
59	212	3333
60	215	3316
61	218	3300
62	221	3291
63	223	3263
64	225	3248
65	228	3232
66	231	3219
67	234	3208
68	241	3260
69	244	3246
70	247	3232
71	249	3220
72	253	3218
73	256	3205
74	257	3179
75	260	3167
76	263	3154
77	266	3146
78	269	3136
79	271	3126
80	274	3116
81	277	3105
82	280	3098
83	283	3093
84	286	3083
85	289	3073
86	290	3053
87	293	3043
88	296	3036
89	299	3029
90	301	3015
91	304	3005
92	307	2996
93	310	2989
94	313	2983
95	315	2975
96	318	2968
97	321	2960
98	324	2952
99	327	2946
100	330	2940
101	333	2932
102	335	2925
103	338	2918
104	341	2914
105	344	2907
106	347	2902
107	350	2896
108	353	2889
109	356	2885
110	359	2879
111	362	2872
112	365	2866
113	368	2861
114	370	2854
115	374	2850
116	377	2845
117	379	2840
118	382	2834
119	385	2827
120	388	2825
121	392	2823
122	395	2820
123	398	2816
124	401	2811
125	405	2809
126	408	2806
127	411	2803
128	414	2799
129	417	2796
130	420	2791
131	423	2786
132	426	2782
133	429	2776
134	432	2773
135	435	2767
136	438	2762
137	441	2756
138	444	2751
139	447	2750
140	450	2745
141	453	2740
142	456	2735
143	459	2730
144	462	2727
145	465	2723
146	468	2718
147	471	2713
148	474	2709
149	477	2706
150	480	2701
151	483	2698
152	486	2693
153	489	2688
154	492	2685
155	496	2683
156	499	2680
157	502	2677
158	505	2675
159	509	2673
160	512	2671
161	515	2669
162	519	2667
163	523	2667
164	526	2664
165	529	2661
166	533	2659
167	536	2658
168	538	2648
169	541	2644
